都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,継続観察登録地点,備考,color
北海道,函館市,,2018-08-11T20:58+09:00,41.77388889,140.7886111,19.2,0.1,,,,yellow
北海道,名寄市,なよろ市立天文台,2022-08-24T21:40+09:00,44.37416667,142.48277778,21.49,0.14,住宅地域,○,,red
北海道,松前町,,2018-08-12T21:28+09:00,41.6,139.9844444,20.8,0.1,,,,orange
岩手県,大船渡市,,2019-02-02T20:16+09:00,39.10833333,141.79861111,20.89,0.15,,,,orange
岩手県,久慈市,,2021-09-06T20:47+09:00,40.20166667 ,141.59083333 ,21.43,0.17,,,,red
岩手県,陸前高田市,箱根山展望台,2019-02-02T19:39+09:00,39.01361111,141.69472222,20.89,0.10,自然公園等,○,,orange
岩手県,奥州市,岩手県胆沢郡金ケ崎町樺山遺跡付近,2018-08-02T21:21+09:00,39.23527778,141.1266667,20.4,0.1,農業地域,○,,orange
岩手県,奥州市,,2019-08-25T20:29+09:00,39.08632513,140.9886459,21.77,0.22,,,,red
岩手県,雫石町,コテージむら管理センター 近辺,2020-08-19T20:31+09:00,39.63166667,140.96388889,21.59,0.39,農業地域,○,,red
岩手県,洋野町,ひろのまきば天文台,2018-08-02T21:32+09:00,40.28972222,141.6644444,21.6,0.2,農業地域,○,,red
宮城県,仙台市,,2018-08-11T22:08+09:00,38.25611111,140.7547222,19.8,0.1,,,,yellow
宮城県,登米市,ナイン・タウン駐車場,2018-08-03T21:03+09:00,38.74138889,141.2377778,20.7,0.1,住宅地域,○,,orange
宮城県,柴田町,柴田郡柴田町本船迫,2018-08-14T21:50+09:00,38.07555556,140.7558333,21.8,0.1,自然公園等,○,薄雲あり,red
宮城県,南三陸町,南三陸ホテル観洋屋上,2019-01-27T19:24+09:00,38.65750000,141.44944444,20.64,0.10,その他,○,,orange
秋田県,秋田市,,2018-08-11T22:00+09:00,39.72694444,140.135,19.3,0.1,,,,yellow
秋田県,能代市,,2018-08-09T22:00+09:00,40.21555556,140.0280556,20.4,0.2,,,,orange
福島県,郡山市,,2018-08-03T22:40+09:00,37.42361111,140.3441667,18.9,0.1,,,,green
福島県,白河市,白河関の森公園駐車場,2022-08-28T19:46+09:00,37.04472222,140.22861111,20.81,0.10,農業地域,○,,orange
福島県,鏡石町,,2018-08-03T22:20+09:00,37.25611111,140.3352778,20,0.1,,,,orange
福島県,鮫川村,鮫川村 赤坂西野,2018-08-14T20:19+09:00,37.07305556,140.4452778,20.3,0.1,森林山間地,○,,orange
茨城県,つくば市,茨城県つくば市吾妻,2018-08-13T22:02+09:00,36.08305556,140.1172222,18.3,0.1,住宅地域,○,,green
栃木県,佐野市,栃木県佐野市 梅林公園,2018-08-09T21:20+09:00,36.35388889,139.6094444,19.6,0.1,農業地域,○,,yellow
栃木県,佐野市,栃木県佐野市 赤城神社,2018-08-09T22:00+09:00,36.29694444,139.5772222,19.1,0.1,住宅地域,○,,yellow
栃木県,大田原市,大田原市ふれあいの丘天文館,2018-08-02T21:21+09:00,36.80138889,140.0505556,20.7,0.2,自然公園等,○,,orange
栃木県,那須町,,2018-08-03T21:54+09:00,37.05722222,140.0986111,19.7,0.1,,,,yellow
埼玉県,さいたま市,,2019-02-02T18:51+09:00,35.94666667,139.69166667,17.77,0.13,,,,blue
埼玉県,さいたま市,浦和美園４丁目公園,2019-08-29T21:40+09:00,35.89629454,139.7324494,17.42,0.1,住宅地域,○,,blue
埼玉県,越谷市,越天蒲生観測所,2021-09-06T20:07+09:00,35.86583333 ,139.80750000 ,17.66,0.09,住宅地域,○,,blue
千葉県,鴨川市,千葉県鴨川市,2019-02-04T20:00+09:00,35.13944444,139.99777778,20.38,0.11,農業地域,○,,orange
千葉県,いすみ市,いすみ市運動公園,2018-08-04T20:49+09:00,35.23388889,140.3594444,20.5,0.1,森林山間地,○,カメラ設定が異なる,orange
東京都,文京区,東洋大学白山キャンパス１号館屋上,2018-08-14T20:07+09:00,35.72305556,139.7505556,17.1,0.1,商業地域,○,薄雲あり,blue
東京都,中野区,なかのZERO,2023-08-11T20:19+09:00,35.70444444 ,139.67111111 ,17.13,0.12,商業地域,○,,blue
東京都,足立区,,2018-08-14T22:04+09:00,35.78972222,139.8225,17.4,0.1,,,薄雲あり,blue
東京都,神津島村,東京都神津島村 よたね広場,2019-01-27T19:27+09:00,34.20500000,139.13916667,21.41,0.07,住宅地域,○,,red
東京都,神津島村,東京都神津島村 ヘリポート,2019-01-27T19:42+09:00,34.19916667,139.12666667,21.60,0.19,農業地域,○,,red
東京都,神津島村,東京都神津島村 赤崎遊歩道,2019-01-27T20:29+09:00,34.23972222,139.13750000,21.71,0.07,その他,○,,red
東京都,神津島村,東京都神津島村 三浦湾展望台,2019-02-04T19:56+09:00,34.19194444,139.14388889,21.66,0.16,その他,○,,red
東京都,小笠原村,東京都小笠原村父島　コペペ海岸,2018-08-15T21:28+09:00,27.06444444,142.1930556,22.5,0.1,森林山間地,○,,red
新潟県,新潟市,,2018-08-14T21:31+09:00,37.89694444,139.0625,18.1,0.2,,,薄雲あり,green
新潟県,村上市,,2018-08-07T21:47+09:00,38.25611111,139.4972222,21.3,0.1,,,,red
石川県,かほく市,,2023-08-10T20:57+09:00,36.71861111 ,136.70444444 ,19.53,0.12,,,,yellow
石川県,能登町,石川県柳田星の観察館「満天星」,2018-08-09T21:59+09:00,37.335,137.1366667,21.6,0.2,自然公園等,○,,red
福井県,福井市,,2018-08-04T22:07+09:00,36.02,136.2955556,20.1,0.1,,,,orange
福井県,福井市,一乗谷朝倉市遺跡,2018-08-04T22:18+09:00,36.00527778,136.2994444,20.3,0.1,その他,○,,orange
福井県,大野市,,2018-08-03T22:19+09:00,36.02,136.5827778,21.3,0.2,,,,red
福井県,勝山市,福井県勝山市北谷小原集落,2018-08-04T20:39+09:00,36.07583333,136.64,21.5,0.3,森林山間地,○,,red
福井県,永平寺町,,2018-08-04T21:50+09:00,36.06527778,136.295,19.8,0.1,,,,yellow
福井県,池田町,,2018-08-04T22:00+09:00,35.8575,136.3175,20.7,0.1,,,,orange
長野県,長野市,長野県庁,2019-09-02T20:03+09:00,36.65127627,138.1812555,18.67,0.12,住宅地域,○,,green
長野県,長野市,,2021-01-13T20:36+09:00,36.68250000 ,138.00194444 ,21.08,0.12,,,,red
長野県,長野市,長野市立博物館,2018-08-09T21:39+09:00,36.59194444,138.1888889,19.7,0.1,自然公園等,○,,yellow
長野県,松本市,,2019-08-25T20:47+09:00,36.10976255,137.6252711,21.9,0.23,,,,red
長野県,松本市,奈川渡ダム駐車場,2020-08-13T21:17+09:00,36.13111111,137.71805556,21.68,0.26,森林山間地,○,,red
長野県,松本市,乗鞍高原・いがや,2020-08-13T21:48+09:00,36.12027778,137.64222222,21.79,0.31,自然公園等,○,,red
長野県,松本市,長野県松本市安曇上高地　大正池,2018-08-05T21:29+09:00,36.22805556,137.6188889,21.7,0.2,自然公園等,○,,red
長野県,上田市,美ヶ原高原,2018-08-02T20:39+09:00,36.22638889,138.1455556,21.8,0.2,自然公園等,○,,red
長野県,上田市,,2020-08-14T22:14+09:00,36.38944444,138.20444444,21.35,0.12,,,,red
長野県,上田市,古安曽観測所前,2020-08-15T21:34+09:00,36.35111111,138.21861111,20.35,0.13,農業地域,○,,orange
長野県,岡谷市,,2019-09-02T21:34+09:00,36.06273047,138.0162942,20.61,0.27,,,,orange
長野県,諏訪市,霧ヶ峰高原,2020-08-13T21:10+09:00,36.09805556,138.16861111,21.36,0.10,自然公園等,○,,red
長野県,小諸市,,2018-08-09T20:21+09:00,36.40333333,138.4705556,21.2,0.1,,,,red
