都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,継続観察登録地点,備考,color
長野県,伊那市,マナスル山荘天文館コテージ広場,2018-08-05T22:30+09:00,35.9025,138.1708333,21.2,0.2,森林山間地,○,,red
長野県,駒ヶ根市,,2018-08-13T21:38+09:00,35.74583333,137.8836111,19.1,0.2,,,,yellow
長野県,大町市,大町市大町 大町市役所,2021-08-28T20:01+09:00,36.50250000 ,137.85055556 ,20.53,0.09,住宅地域,○,,orange
長野県,大町市,大町市社 大町観測所,2021-08-28T20:22+09:00,36.44500000 ,137.87722222 ,21.06,0.04,農業地域,○,,red
長野県,塩尻市,,2020-08-14T21:18+09:00,35.96027778,137.80888889,21.52,0.16,,,,red
長野県,塩尻市,片丘小学校東,2020-08-14T20:09+09:00,36.14388889,137.97972222,19.91,0.12,農業地域,○,,yellow
長野県,佐久市,うすだスタードーム,2023-08-10T21:07+09:00,36.19305556 ,138.42944444 ,20.81,0.11,森林山間地,○,,orange
長野県,千曲市,長野県千曲市 中央公園,2018-08-09T20:47+09:00,36.52861111,138.1108333,20,0.1,住宅地域,○,,orange
長野県,東御市,,2020-08-18T21:36+09:00,36.41833333,138.42194444,21.24,0.18,,,,red
長野県,安曇野市,安曇野市穂高牧 安曇野公園穂高,2021-08-29T20:13+09:00,36.32083333 ,137.84555556 ,20.49,0.16,農業地域,○,,orange
長野県,安曇野市,安曇野市穂高 穂高会館,2021-08-29T20:55+09:00,36.34583333 ,137.88388889 ,20.12,0.11,住宅地域,○,,orange
長野県,南牧村,,2018-08-03T22:03+09:00,35.99777778,138.4980556,21.3,0.2,,,,red
長野県,南牧村,国立天文台野辺山宇宙電波観測所内,2020-08-12T20:32+09:00,35.94138889,138.47277778,21.33,0.06,農業地域,○,,red
長野県,軽井沢町,,2018-08-13T21:20+09:00,36.35777778,138.5630556,20.3,0.1,,,,orange
長野県,立科町,,2020-08-19T20:38+09:00,36.14722222,138.27750000,21.10,0.16,,,,red
長野県,長和町,,2018-08-03T21:41+09:00,36.20166667,138.215,21.7,0.2,,,,red
長野県,下諏訪町,長野県下諏訪町赤砂崎公園,2018-08-13T22:25+09:00,36.05916667,138.0780556,19.5,0.1,自然公園等,○,,yellow
長野県,原村,,2020-08-18T20:27+09:00,35.97222222,138.26611111,21.25,0.08,,,,red
長野県,辰野町,,2020-08-15T20:21+09:00,36.01472222,137.96388889,20.93,0.17,,,,orange
長野県,箕輪町,,2020-08-10T20:19+09:00,35.91027778,137.99916667,20.27,0.09,,,,orange
長野県,上松町,上松駅前,2023-08-08T22:06+09:00,35.78361111 ,137.69333333 ,20.26,0.09,商業地域,○,,orange
長野県,上松町,木曽の桟,2018-08-08T22:15+09:00,35.80611111,137.6872222,21.5,0.2,森林山間地,○,,red
長野県,王滝村,東京大学木曽観測所,2020-08-10T20:53+09:00,35.79638889,137.62388889,21.64,0.19,森林山間地,○,,red
長野県,木曽町,道の駅日義木曽駒高原,2020-08-14T21:26+09:00,35.86611111,137.74000000,20.93,0.13,住宅地域,○,,orange
長野県,木曽町,キビオ峠,2020-08-14T21:12+09:00,35.83083333,137.75583333,21.52,0.18,森林山間地,○,,red
長野県,木曽町,関山公園,2020-08-14T20:53+09:00,35.84972222,137.70361111,20.94,0.10,自然公園等,○,,orange
長野県,木曽町,,2023-08-11T20:56+09:00,35.89500000 ,137.48777778 ,21.91,0.08,,,,red
長野県,山形村,,2018-08-04T22:31+09:00,36.17055556,137.8788889,20,0.1,,,,orange
長野県,朝日村,,2018-08-05T21:36+09:00,36.12777778,137.8630556,20.5,0.1,,,,orange
長野県,池田町,,2020-08-18T20:34+09:00,36.45111111,137.89277778,20.95,0.12,,,,orange
長野県,白馬村,,2020-08-18T20:32+09:00,36.63277778,137.85722222,21.65,0.21,,,,red
長野県,小川村,小川天文台,2020-08-16T21:07+09:00,36.65944444,137.98694444,21.44,0.29,森林山間地,○,,red
岐阜県,八百津町,,2018-08-06T21:05+09:00,35.49833333,137.2552778,20.7,0.2,,,,orange
静岡県,浜松市,浜松市天文台,2019-02-07T19:35+09:00,34.66333333,137.76861111,18.38,0.08,住宅地域,○,,green
静岡県,清水町,,2022-08-18T21:47+09:00,35.10138889,138.89333333,18.68,0.09,,,,green
愛知県,名古屋市,愛知県名古屋市,2018-08-03T22:42+09:00,35.22722222,136.8833333,17.6,0.1,住宅地域,○,,blue
愛知県,名古屋市,,2019-09-03T20:38+09:00,35.07571997,136.8533072,17.41,0.1,,,,blue
愛知県,設楽町,奥三河総合センター,2021-08-28T20:27+09:00,35.09361111 ,137.57361111 ,20.86,0.12,住宅地域,○,,orange
愛知県,設楽町,道の駅つぐ高原グリーンパーク,2020-08-11T21:20+09:00,35.20138889,137.60416667,21.48,0.25,自然公園等,○,,red
愛知県,東栄町,,2020-08-16T20:52+09:00,35.12000000,137.72222222,21.60,0.19,,,,red
愛知県,豊根村,茶臼山高原,2018-08-05T22:01+09:00,35.22138889,137.6588889,21.4,0.2,自然公園等,○,,red
大阪府,八尾市,,2020-01-18T20:39+09:00,34.61404945,135.5951607,17.18,0.37,,,,blue
兵庫県,神戸市,神戸市 長田区 鹿松町,2018-08-07T21:30+09:00,34.68361111,135.1333333,18.5,0.1,住宅地域,○,,green
奈良県,十津川村,,2018-08-12T22:29+09:00,34.00388889,135.7925,21.7,0.1,,,,red
和歌山県,和歌山市,和歌山大学 総合研究棟屋上,2018-08-10T20:07+09:00,34.26722222,135.1516667,15.9,0.3,森林山間地,○,薄雲あり,blue
和歌山県,田辺市,,2018-08-12T22:18+09:00,33.8775,135.7597222,21.3,0.1,,,,red
鳥取県,日南町,鳥取県日野郡日南町上萩山,2018-08-13T21:18+09:00,35.13638889,133.165,21.5,0.1,農業地域,○,,red
島根県,大田市,島根県立三瓶自然館サヒメル,2021-01-14T20:59+09:00,35.15277778 ,132.61944444 ,21.40,0.09,自然公園等,○,,red
広島県,広島市,,2018-08-06T21:00+09:00,34.46,132.5127778,18.5,0.2,,,,green
徳島県,徳島市,,2023-08-16T21:19+09:00,34.06222222 ,134.47138889 ,19.67,0.10,,,,yellow
徳島県,石井町,,2023-08-16T21:50+09:00,34.07361111 ,134.41861111 ,19.96,0.09,,,,yellow
香川県,高松市,,2018-08-07T21:05+09:00,34.35472222,134.1322222,19.6,0.1,,,,yellow
愛媛県,久万高原町,,2018-08-06T22:59+09:00,33.67611111,132.9405556,21.4,0.1,,,,red
福岡県,福岡市,福岡県福岡市中央区草香江,2018-08-13T22:38+09:00,33.58,130.3719444,17.7,0.2,住宅地域,○,薄雲あり,blue
福岡県,八女市,星のふるさと公園 星降る広場,2020-08-19T21:31+09:00,33.24277778,130.76000000,20.80,0.11,森林山間地,○,,orange
熊本県,熊本市,熊本県熊本市,2018-08-02T22:19+09:00,32.82444444,130.6825,19.2,0.2,住宅地域,○,,yellow
熊本県,熊本市,,2018-08-08T21:06+09:00,32.83111111,130.7341667,18.6,0.2,,,薄雲あり,green
熊本県,天草市,,2021-08-29T20:43+09:00,32.45333333 ,130.12222222 ,21.47,0.19,,,,red
熊本県,南阿蘇村,,2018-08-10T21:58+09:00,32.89138889,131.0263889,19.9,0.1,,,,yellow
宮崎県,都城市,,2019-02-01T21:18+09:00,31.88027778,131.06944444,20.96,0.11,,,,orange
鹿児島県,姶良市,鹿児島県姶良市平松(姶良駅近く),2018-08-08T20:30+09:00,31.71444444,130.6236111,18.5,0.3,住宅地域,○,,green
沖縄県,石垣市,,2021-01-14T20:44+09:00,24.48722222 ,124.27472222 ,21.64,0.10,,,,red
沖縄県,竹富町,沖縄県八重山郡竹富町,2018-08-03T21:24+09:00,24.04972222,123.7975,22.1,0.1,その他,○,,red
北海道,新ひだか町,静内二十間道路,2019-08-25T20:30+09:00,42.38194507,142.4153616,21.36,0.16,農業地域,○,,red
北海道,壮瞥町,壮瞥町森と木の里センター周辺,2019-08-27T20:12+09:00,42.57166239,140.9092637,21.25,0.08,森林山間地,○,,red
北海道,弟子屈町,北海道川上郡弟子屈町,2020-08-16T21:07+09:00,43.52472222,144.40250000,21.77,0.15,農業地域,○,,red
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2020-08-11T21:16+09:00,43.45638889,143.76611111,22.18,0.11,森林山間地,○,,red
北海道,名寄市,,2019-08-27T21:30+09:00,44.34693429,142.4596524,19.72,0.08,,,,yellow
北海道,札幌市,,2019-09-29T19:15+09:00,43.04528545,141.3526009,17.31,0.1,,,,blue
青森県,深浦町,風車の丘白神展望台,2019-09-26T19:23+09:00,40.59359649,139.8761031,21.31,0.2,森林山間地,○,,red
青森県,十和田市,,2020-08-12T20:13+09:00,40.60000000,140.95222222,21.52,0.15,,,,red
青森県,八戸市,八戸市 湊高台二丁目,2020-08-12T21:36+09:00,40.50527778,141.54027778,19.35,0.10,住宅地域,○,,yellow
青森県,八戸市,,2023-08-11T20:44+09:00,40.37972222 ,141.49833333 ,21.30,0.08,,,,red
岩手県,久慈市,久慈市長内町,2023-08-11T21:08+09:00,40.18611111 ,141.79000000 ,20.71,0.25,住宅地域,○,,orange
岩手県,住田町,気仙群住田町 種山高原（遊林ランド種山）,2020-01-22T19:11+09:00,39.18135822,141.3981092,20.63,0.15,森林山間地,○,,orange
岩手県,金ケ崎町,,2019-09-30T19:38+09:00,39.18329593,140.9886346,20.73,0.12,,,,orange
岩手県,洋野町,,2019-09-24T20:58+09:00,40.28647521,141.6625857,21.54,0.06,,,,red
宮城県,登米市,ナイン・タウン駐車場観測地点,2021-08-29T20:05+09:00,38.72194444 ,141.21416667 ,20.43,0.07,住宅地域,○,,orange
宮城県,登米市,ナイン・タウン旧中田沼観測地点,2020-08-19T21:12+09:00,38.74138889,141.23777778,20.92,0.18,農業地域,○,,orange
宮城県,登米市,ナイン・タウン米谷新中渡戸観測地点,2020-08-19T21:40+09:00,38.73722222,141.31083333,21.10,0.14,農業地域,○,,red
宮城県,名取市,,2019-09-26T19:07+09:00,38.16825833,140.8639233,18.66,0,,,,green
宮城県,岩沼市,,2019-09-26T20:39+09:00,38.12976667,140.8014533,19.65,0.1,,,,yellow
宮城県,石巻市,,2019-02-02T20:07+09:00,38.63083333,141.52611111,21.27,0.18,,,,red
宮城県,蔵王町,,2019-09-30T20:15+09:00,38.13518274,140.48177,21.07,0.1,,,,red
秋田県,横手市,秋田ふるさと村第４駐車場,2019-08-26T20:03+09:00,39.2916157,140.5449496,19.49,0.08,商業地域,○,,yellow
秋田県,横手市,天下森スキー場駐車場,2019-08-26T21:02+09:00,39.16244722,140.6214526,21.44,0.11,森林山間地,○,,red
福島県,いわき市,いわき市中央台鹿島,2023-08-12T21:31+09:00,37.00750000 ,140.92416667 ,19.80,0.08,住宅地域,○,,yellow
福島県,広野町,SUZUKI天体観測所,2023-08-12T21:05+09:00,37.19166667 ,140.95138889 ,21.06,0.13,森林山間地,○,,red
福島県,広野町,双葉郡広野町,2023-08-12T21:28+09:00,37.21555556 ,140.99305556 ,20.63,0.10,住宅地域,○,,orange
福島県,田村市,星の村天文台,2022-08-28T20:38+09:00,37.34166667,140.67611111,21.09,0.12,自然公園等,○,,red
福島県,塙町,白河関の森公園駐車場,2020-01-21T18:49+09:00,36.89121003,140.4861923,20.07,0.08,農業地域,○,,orange
茨城県,つくば市,つくば市吾妻,2020-08-11T22:02+09:00,36.08333333,140.11833333,18.32,0.14,住宅地域,○,,green
栃木県,佐野市,佐野市 赤城神社,2022-08-18T21:58+09:00,36.29694444,139.57722222,19.20,0.14,住宅地域,○,,yellow
栃木県,佐野市,佐野市 梅林公園,2021-09-09T21:29+09:00,36.35388889 ,139.60944444 ,19.73,0.13,農業地域,○,,yellow
栃木県,佐野市,作原自然環境保全地域,2021-09-06T21:25+09:00,36.56416667 ,139.46888889 ,21.35,0.14,自然公園等,○,,red
群馬県,嬬恋村,,2020-01-21T19:52+09:00,36.50550994,138.4589184,20.92,0.11,,,,orange
埼玉県,草加市,東武スカイツリーライン谷塚駅前,2022-08-18T20:18+09:00,35.81694444,139.80027778,17.47,0.15,商業地域,○,,blue
埼玉県,坂戸市,坂戸市内,2020-08-20T20:41+09:00,35.92111111,139.33888889,18.30,0.09,農業地域,○,,green
埼玉県,さいたま市,さいたま市岩槻区加倉,2019-09-26T19:44+09:00,35.94437644,139.6863217,16.21,1.17,住宅地域,○,,blue
千葉県,南房総市,,2019-08-31T21:39+09:00,35.07947667,139.9965683,20.14,0.16,,,,orange
千葉県,習志野市,谷津奏の杜公園,2020-08-20T21:35+09:00,35.68916667,140.01222222,17.21,0.17,住宅地域,○,,blue
千葉県,大網白里市,大網白里市北飯塚,2019-09-02T20:37+09:00,35.49878929,140.3499283,19.39,0.41,その他,○,,yellow
千葉県,松戸市,松戸市内,2022-01-31T19:20+09:00,35.77944444,139.9044444,17.37,0.1,住宅地域,○,,blue
千葉県,東金市,,2019-09-26T19:38+09:00,35.57690711,140.3721115,18.71,0.09,,,,green
千葉県,鎌ケ谷市,鎌ケ谷市内,2023-08-12T20:34+09:00,35.77805556 ,139.99083333 ,18.03,0.04,住宅地域,○,,green
東京都,町田市,,2019-01-27T20:13+09:00,35.56638889,139.42305556,17.82,0.09,,,,blue
東京都,府中市,,2020-08-11T21:41+09:00,35.68166667,139.47611111,17.46,0.09,,,,blue
東京都,神津島村,神津島村 よたね広場,2021-08-28T20:36+09:00,34.20472222 ,139.13888889 ,21.47,0.12,住宅地域,○,,red
東京都,神津島村,神津島村 ヘリポート,2020-08-14T21:37+09:00,34.19861111,139.12666667,21.87,0.39,農業地域,○,,red
東京都,神津島村,神津島村 三浦湾展望台,2020-01-21T20:08+09:00,34.19196712,139.1441131,21.85,0.26,その他,○,,red
東京都,神津島村,神津島村 赤崎遊歩道,2019-09-02T21:38+09:00,34.23976175,139.1376078,21.91,0.53,その他,○,,red
東京都,奥多摩町,西多摩郡奥多摩町 奥多摩湖大麦代園地駐車場,2021-01-09T19:24+09:00,35.78972222 ,139.04333333 ,20.42,0.08,森林山間地,○,,orange
東京都,小金井市,都立小金井公園　いこいの広場,2023-08-10T20:38+09:00,35.71583333 ,139.51583333 ,17.62,0.09,自然公園等,○,,blue
東京都,羽村市,羽村市,2020-08-13T22:02+09:00,35.77194444,139.30083333,18.40,0.11,住宅地域,○,,green
神奈川県,平塚市,平塚市岡崎,2023-08-17T21:41+09:00,35.36888889 ,139.32055556 ,18.76,0.06,農業地域,○,,green
神奈川県,横浜市,,2019-01-28T19:07+09:00,35.51888889,139.57055556,17.42,0.19,,,,blue
神奈川県,清川村,,2019-09-02T21:03+09:00,35.47366872,139.2165479,19.89,0.12,森林山間地,○,,yellow
新潟県,佐渡市,佐渡市秋津,2019-08-25T20:01+09:00,38.06047609,138.4201142,21.49,0.23,その他,○,,red
新潟県,長岡市,長岡市小国町原　県道341号沿,2020-08-18T20:42+09:00,37.25694444,138.69750000,21.10,0.14,森林山間地,○,,red
新潟県,長岡市,長岡市小国町法坂 せせらぎ公園,2020-08-18T20:26+09:00,37.30888889,138.71138889,20.89,0.11,その他,○,,orange
石川県,能登町,石川県柳田星の観察館「満天星」 ,2022-08-18T20:31+09:00,37.33500000,137.13694444,21.98,0.07,自然公園等,○,,red
福井県,勝山市,勝山市北谷町小原集落,2019-08-26T21:32+09:00,36.07345292,136.6334546,21.49,0.45,森林山間地,○,,red
福井県,大野市,福井県自然保護センター観察棟,2021-09-06T20:35+09:00,36.02138889 ,136.58222222 ,21.26,0.17,自然公園等,○,,red
福井県,おおい町,大飯郡おおい町名田庄中,2023-08-11T20:59+09:00,35.40527778 ,135.64000000 ,21.70,0.24,農業地域,○,,red
山梨県,富士吉田市,富士北麓公園駐車場,2019-01-29T20:22+09:00,35.45666667,138.76722222,20.18,0.11,自然公園等,○,,orange
山梨県,富士吉田市,富士散策公園,2019-09-02T21:00+09:00,35.45614401,138.8044345,19.77,0.15,自然公園等,○,,yellow
山梨県,富士吉田市,富士吉田市大明見地内,2019-01-29T20:48+09:00,35.48472222,138.81805556,19.57,0.10,住宅地域,○,,yellow
山梨県,北杜市,北杜市白州町横手,2020-08-15T21:40+09:00,35.78805556,138.31694444,21.13,0.17,農業地域,○,,red
山梨県,丹波山村,北都留郡丹波山村,2021-01-09T20:00+09:00,35.78527778 ,138.97805556 ,20.69,0.08,森林山間地,○,,orange
山梨県,小菅村,北都留郡小菅村 小菅村ヘリポート,2023-01-21T19:09+09:00,35.76361111,138.9402778,20.56,0.13,森林山間地,○,,orange
山梨県,甲州市,,2019-08-25T21:06+09:00,35.77581673,138.8021627,21.11,0.11,,,,red
長野県,青木村,,2020-08-11T21:12+09:00,36.36972222,138.10666667,21.03,0.14,,,,red
長野県,箕輪町,JR木ノ下駅周辺,2020-08-10T21:01+09:00,35.89944444,137.98777778,19.94,0.09,住宅地域,○,,yellow
長野県,阿智村,,2021-01-13T20:14+09:00,35.37472222 ,137.69555556 ,21.15,0.11,,,,red
長野県,売木村,,2021-08-28T20:38+09:00,35.29694444 ,137.67166667 ,21.33,0.22,,,,red
長野県,平谷村,,2021-08-28T20:31+09:00,35.30694444 ,137.64222222 ,21.26,0.16,,,,red
長野県,下條村,,2020-01-21T20:31+09:00,35.38856016,137.7705985,20.96,0.14,,,,orange
長野県,駒ヶ根市,日本電産長野技術研究開発センター周辺,2020-08-15T20:23+09:00,35.72000000,137.90972222,20.42,0.10,農業地域,○,,orange
長野県,駒ヶ根市,長野県駒ヶ根工業高等学校周辺,2023-08-10T20:43+09:00,35.71333333 ,137.92055556 ,20.45,0.13,住宅地域,○,,orange
長野県,山形村,山形村 ミラ フード館 ,2021-08-28T21:03+09:00,36.16722222 ,137.87888889 ,20.26,0.15,農業地域,○,,orange
長野県,南箕輪村,上伊那郡南箕輪村 大芝公園,2023-01-19T20:22+09:00,35.88527778,137.9433333,19.9,0.22,自然公園等,○,,yellow
長野県,伊那市,長野県伊那文化会館,2019-01-27T20:07+09:00,35.83944444,137.94500000,19.80,0.07,住宅地域,○,,yellow
長野県,下諏訪町,下諏訪町赤砂崎公園,2020-08-10T21:38+09:00,36.05916667,138.07777778,20.27,0.10,自然公園等,○,,orange
長野県,木曽町,開田高原保健休養地テニスコート,2020-08-13T21:44+09:00,35.91861111,137.55638889,21.74,0.20,森林山間地,○,,red
長野県,伊那市,,2020-08-10T21:52+09:00,35.69972222,138.06694444,21.64,0.12,,,,red
長野県,安曇野市,安曇野市豊科 安曇野市役所,2023-08-10T21:39+09:00,36.30416667 ,137.90555556 ,19.67,0.11,住宅地域,○,,yellow
長野県,阿智村,下伊那郡阿智村伍和 栗矢観測所,2020-08-12T21:14+09:00,35.41055556,137.74944444,21.31,0.15,農業地域,○,,red
長野県,上田市,武石観光センター,2019-08-25T21:13+09:00,36.25770125,138.1356955,21.5,0.11,森林山間地,○,,red
長野県,松本市,松本市安曇上高地　大正池,2023-08-14T20:59+09:00,36.22888889 ,137.61916667 ,21.72,0.18,自然公園等,○,,red
長野県,松本市,アルプス公園駐車場,2021-08-28T21:47+09:00,36.25750000 ,137.95500000 ,19.62,0.13,自然公園等,○,,yellow
長野県,松本市,平田駅西口,2020-08-14T21:42+09:00,36.19222222,137.96138889,19.07,0.11,住宅地域,○,,yellow
長野県,松本市,松本駅西口,2020-01-21T19:57+09:00,36.23055809,137.9634306,17.81,0.09,商業地域,○,,blue
長野県,松本市,松本市中央,2023-01-19T18:54+09:00,36.23416667,137.9788889,18.14,0.07,商業地域,○,,green
長野県,伊那市,伊那市西箕輪 中条地区,2020-08-14T20:14+09:00,35.87416667,137.92694444,20.62,0.10,農業地域,○,,orange
長野県,駒ヶ根市,駒ヶ根高原家族旅行村アルプスの丘周辺,2023-01-12T19:23+09:00,35.73027778,137.8991667,20.7,0.2,自然公園等,○,,orange
長野県,伊那市,伊那市 西春近北小学校グランド,2019-09-02T21:11+09:00,35.81965002,137.9370676,20.17,0.14,農業地域,○,,orange
長野県,白馬村,八方尾根うさぎ平,2019-08-26T21:25+09:00,36.69700159,137.8155819,20.88,0.09,自然公園等,○,,orange
