title,sub_title,alias,,pref,address,name,geo3x3,url,url_src,url_blog_ja
星空保護区,ダークスカイ・パーク,,2018-04-01,沖縄県,八重山郡竹富町西表島,西表石垣国立公園,E6772642,https://darksky.org/places/iriomote-ishigaki-national-park-dark-sky-park/,https://darksky.org/news/first-international-dark-sky-place-established-in-japan/,https://hoshizorahogoku.org/2019/12/28/post-69/
星空保護区,ダークスカイ・パーク,ダークスカイ・アイランド,2020-11-30,東京都,神津島村神津島,神津島,E9136892,https://darksky.org/places/kozushima-island-dark-sky-park/,https://darksky.org/news/kozushima-recognized-dark-sky-park/,https://hoshizorahogoku.org/2020/12/02/post-355/
星空保護区,ダークスカイ・コミュニティ,,2021-11-01,岡山県,井原市美星町,美星町,E91371198,https://darksky.org/places/bisei-town-ibara-city-dark-sky-community/,https://darksky.org/news/ida-certifies-asias-first-dark-sky-community-with-bisei-town-japan/,https://hoshizorahogoku.org/2021/11/02/post-460/
星空保護区,アーバン・ナイトスカイプレイス,,2023-08-21,福井県,大野市,南六呂師エリア,E913882426,https://darksky.org/places/minami-rokuroshi/,https://darksky.org/news/minami-rokuroshi-in-ono-city-certified-as-japans-first-urban-night-sky-place/,https://hoshizorahogoku.org/2023/08/21/post-571/
